Data Escala de Tempo 1 CDH Simp 4;Selecione Tipo de CDH Simp 4
08/08/2021 04:00;52219,363
08/08/2021 05:00;51860,584
08/08/2021 06:00;50413,794
08/08/2021 07:00;49780,12
08/08/2021 08:00;51286,894
08/08/2021 09:00;52850,645
08/08/2021 10:00;54154,863
08/08/2021 11:00;54503,127
08/08/2021 12:00;53557,889
08/08/2021 13:00;52546,442
08/08/2021 14:00;52506,885
08/08/2021 15:00;54156,299
08/08/2021 16:00;56953,272
08/08/2021 17:00;61546,896
08/08/2021 18:00;69942,138
08/08/2021 19:00;70242,753
08/08/2021 20:00;68671,158
08/08/2021 21:00;67027,998
08/08/2021 22:00;64520,069
08/08/2021 23:00;61091,641
09/08/2021 00:00;57941,914
09/08/2021 01:00;55629,807
09/08/2021 02:00;54289,708
09/08/2021 03:00;53725,334
09/08/2021 04:00;54172,6
09/08/2021 05:00;56069,601
09/08/2021 06:00;58788,164
09/08/2021 07:00;62211,067
09/08/2021 08:00;66118,315
09/08/2021 09:00;67557,458
09/08/2021 10:00;68735,576
09/08/2021 11:00;69010,663
09/08/2021 12:00;67938,231
09/08/2021 13:00;70110,103
09/08/2021 14:00;72313,297
09/08/2021 15:00;73516,527
09/08/2021 16:00;74420,396
09/08/2021 17:00;74332,468
09/08/2021 18:00;78541,599
09/08/2021 19:00;78401,203
09/08/2021 20:00;76974,545
09/08/2021 21:00;75663,223
09/08/2021 22:00;72484,793
09/08/2021 23:00;67632,41
10/08/2021 00:00;63232,243
10/08/2021 01:00;60285,113
10/08/2021 02:00;58468,009
10/08/2021 03:00;57778,173
10/08/2021 04:00;57995,515
10/08/2021 05:00;59530,502
10/08/2021 06:00;61806,681
10/08/2021 07:00;65317,973
10/08/2021 08:00;68504,929
10/08/2021 09:00;69836,848
10/08/2021 10:00;71196,864
10/08/2021 11:00;71293,226
10/08/2021 12:00;70111,457
10/08/2021 13:00;72294,627
10/08/2021 14:00;74476,477
10/08/2021 15:00;75712,128
10/08/2021 16:00;76535,856
10/08/2021 17:00;75850,598
10/08/2021 18:00;80070,608
10/08/2021 19:00;79301,801
10/08/2021 20:00;77362,02
10/08/2021 21:00;76337,707
10/08/2021 22:00;73135,038
10/08/2021 23:00;68548,727
11/08/2021 00:00;64102,793
11/08/2021 01:00;60901,875
11/08/2021 02:00;59143,059
11/08/2021 03:00;58246,85
11/08/2021 04:00;58271,161
11/08/2021 05:00;59600,027
11/08/2021 06:00;62073,58
11/08/2021 07:00;65590,356
11/08/2021 08:00;68611,059
11/08/2021 09:00;69840,375
11/08/2021 10:00;70986,679
11/08/2021 11:00;70764,019
11/08/2021 12:00;68922,791
