Field,Min,Q05,Q25,̄Mean,Median,Q75,Q95,Max
vm,-0.004315122431162721,-0.00386855393175296,-0.0009037757225223708,-0.0002136888879300386,0.0,0.0001813710880755326,0.004230485187794423,0.004842593873401246
va,-7.585563665465575e-5,-7.504802311557608e-5,-2.547180691049155e-5,8.520298045566884e-6,9.831851356249463e-6,4.181171190771431e-5,8.678890956507955e-5,9.236051390432154e-5
pf,-8.598164417694676e-5,-6.702110340925937e-5,-1.0730197128772101e-5,4.722166178481594e-6,1.1252050939491998e-5,2.4782412926666053e-5,6.467873104802898e-5,9.396178890419549e-5
qf,-0.21017774561073133,-0.10276703608528655,-0.03941466507943672,0.00680860970671729,-0.0001029700188874827,3.903502680111491e-5,0.2077235278325288,0.3419232200469184
